File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\sainath\Desktop\freemind\modes\filemode\FileMapModel.java,662,312,195,154,37,414,97,0,33,21,55,1,
C:\Users\sainath\Desktop\freemind\modes\filemode\FileMode.java,512,228,159,125,66,276,84,0,27,7,49,0,
C:\Users\sainath\Desktop\freemind\modes\filemode\FileNodeModel.java,1815,717,621,476,698,701,169,6,108,15,116,0,
C:\Users\sainath\Desktop\freemind\modes\filemode\FilePopupMenu.java,320,157,90,73,0,227,46,0,16,6,23,0,
C:\Users\sainath\Desktop\freemind\modes\filemode\FileToolBar.java,210,104,59,47,0,148,30,0,9,6,15,0,
C:\Users\sainath\Desktop\freemind\modes\HistoryInformation.java,297,137,87,72,12,128,83,0,27,8,36,0,
C:\Users\sainath\Desktop\freemind\modes\IconInformation.java,118,58,33,27,0,98,6,0,5,0,8,0,
C:\Users\sainath\Desktop\freemind\modes\LineAdapter.java,1523,592,531,399,571,503,236,6,81,11,112,1,
C:\Users\sainath\Desktop\freemind\modes\LinkAdapter.java,988,425,314,248,169,454,209,0,50,8,95,0,
C:\Users\sainath\Desktop\freemind\modes\LinkRegistryAdapter.java,4879,1909,1642,1327,1753,1145,1090,85,397,45,353,8,
C:\Users\sainath\Desktop\freemind\modes\MapAdapter.java,4228,1609,1479,1139,1234,1185,847,103,554,23,269,9,
C:\Users\sainath\Desktop\freemind\modes\MapRegistry.java,1035,438,327,268,273,454,153,6,64,7,76,0,
C:\Users\sainath\Desktop\freemind\modes\MindIcon.java,2425,945,837,642,904,750,395,48,145,17,157,5,
C:\Users\sainath\Desktop\freemind\modes\MindMap.java,555,272,156,127,0,434,57,0,35,14,14,0,
C:\Users\sainath\Desktop\freemind\modes\MindMapArrowLink.java,353,176,97,79,0,276,41,0,13,11,10,0,
C:\Users\sainath\Desktop\freemind\modes\MindMapCloud.java,160,84,42,34,0,118,16,0,5,11,8,0,
C:\Users\sainath\Desktop\freemind\modes\MindMapEdge.java,105,56,27,22,0,78,8,0,2,8,7,0,
C:\Users\sainath\Desktop\freemind\modes\MindMapLine.java,215,107,59,48,0,168,22,0,9,7,8,0,
C:\Users\sainath\Desktop\freemind\modes\MindMapLink.java,144,74,38,31,0,108,11,0,6,9,8,0,
C:\Users\sainath\Desktop\freemind\modes\MindMapLinkRegistry.java,513,250,143,119,0,355,102,0,23,16,15,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\AddArrowLinkAction.java,1893,798,610,484,477,859,274,6,143,10,119,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\AddLocalLinkAction.java,535,238,165,131,118,276,59,6,32,8,31,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ApplyPatternAction.java,3593,1357,1257,978,1661,1007,420,6,257,10,228,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\BoldAction.java,825,366,255,204,116,454,136,0,53,8,57,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ChangeArrowLinkEndPoints.java,949,439,281,229,60,582,158,0,72,10,65,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ChangeArrowsInArrowLinkAction.java,1091,483,335,272,136,572,218,0,82,7,71,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CloudAction.java,1383,581,450,351,334,651,199,0,98,7,91,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CloudColorAction.java,1651,679,543,428,505,691,228,0,120,7,96,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ColorArrowLinkAction.java,1007,451,308,247,116,572,167,0,77,7,65,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CompoundActionHandler.java,584,258,180,144,103,306,75,6,44,9,38,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CopyAction.java,385,167,121,95,99,187,44,0,18,7,27,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CopySingleAction.java,366,158,116,91,99,177,40,0,15,7,26,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\CutAction.java,1841,816,572,452,319,1046,229,0,129,11,102,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\DeleteChildAction.java,1670,745,512,412,276,918,222,18,122,10,98,3,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EdgeColorAction.java,1233,540,382,311,235,632,178,0,102,8,76,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EdgeStyleAction.java,1048,462,323,262,164,563,171,0,76,7,65,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EdgeWidthAction.java,1177,506,375,295,228,592,190,0,81,7,76,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\EditAction.java,3586,1467,1169,949,1039,1343,672,0,261,14,250,5,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ExportBranchAction.java,1988,830,648,508,582,868,248,12,134,14,124,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\FontFamilyAction.java,1017,461,306,249,95,592,172,0,81,8,67,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\FontSizeAction.java,1009,448,309,250,136,553,166,0,73,8,71,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\FreemindAction.java,450,205,136,108,56,256,79,0,19,9,29,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\HookAction.java,90,48,23,18,0,69,5,0,1,6,8,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\IconAction.java,3043,1236,1005,802,862,1036,611,74,238,7,211,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ImportExplorerFavoritesAction.java,1665,672,552,440,526,651,207,12,153,9,101,3,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ImportFolderStructureAction.java,1591,655,522,413,426,681,215,12,149,9,94,2,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ItalicAction.java,795,358,243,194,81,454,143,0,52,7,56,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\JoinNodesAction.java,1540,624,509,407,471,563,220,49,139,7,83,7,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\MindMapActions.java,2107,1009,598,500,0,1471,467,0,88,38,39,1,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\MindMapControllerHookAction.java,338,164,96,77,6,237,47,0,14,7,25,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\ModeControllerActionHandler.java,271,135,74,61,0,187,38,0,9,10,25,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\MoveNodeAction.java,1171,497,376,297,256,553,207,0,80,7,65,0,
C:\Users\sainath\Desktop\freemind\modes\mindmapmode\actions\NewChildAction.java,2281,982,722,577,462,1086,395,18,160,11,142,4,
